Feature,Importance
in.geometry_floor_area,0.35911950709079654
in.heating_fuel,0.11002017680861295
in.insulation_wall,0.09765750967567546
in.heating_setpoint,0.06090282639250864
in.representative_income,0.04426401183042578
in.infiltration,0.03082240477706358
in.duct_leakage_and_insulation,0.024093148150573687
in.hvac_heating_type,0.022574790413538683
in.tenure,0.020981752020791247
in.vintage,0.01833569626204534
in.cooling_setpoint,0.015714416866720798
bldg_id,0.01406741874442388
in.geometry_foundation_type,0.01120810792570771
in.hvac_heating_efficiency,0.011052602430494187
in.occupants,0.010215837524476369
in.refrigerator,0.010215568062817471
in.water_heater_efficiency,0.009464656057930338
in.bedrooms,0.00907347344185728
in.window_areas,0.00713697794779654
in.windows,0.0066136839519611
in.orientation,0.006467929726406137
in.cooking_range,0.006067894822000538
in.roof_material,0.006045494461568766
in.insulation_ceiling,0.005644085761839365
in.hvac_cooling_efficiency,0.005400238310831838
in.hvac_cooling_partial_space_conditioning,0.0052349964117186214
in.geometry_wall_exterior_finish,0.0047156943459462095
in.misc_extra_refrigerator,0.004435812231263354
in.clothes_washer,0.004342870642259239
in.insulation_roof,0.004082051552543554
in.area_median_income,0.00386485900872198
in.duct_location,0.0037874103319806155
in.income_recs_2020,0.0034942887162734003
in.lighting,0.0034928060968118183
in.federal_poverty_level,0.00338808396743604
in.water_heater_fuel,0.003145025983669894
in.clothes_dryer,0.0027384782331681765
in.geometry_building_type_recs,0.002603713570857643
in.geometry_stories_low_rise,0.002461802018380874
in.insulation_floor,0.0024296719585365566
in.dishwasher,0.0022575447545723
in.geometry_attic_type,0.002060244943175991
in.vacancy_status,0.0017811669634445553
in.geometry_stories,0.0017260810267874479
in.hvac_cooling_type,0.0016506468924123528
in.geometry_garage,0.0013950437949614182
in.geometry_building_horizontal_location_mf,0.0013477260119438897
in.geometry_building_number_units_mf,0.0011903866183214375
in.hvac_has_ducts,0.0011251179744631208
in.neighbors,0.0009550026861646614
in.plug_loads,0.0008899567862022867
in.plug_load_diversity,0.000853710618499663
in.household_has_tribal_persons,0.0008156103577275768
in.insulation_foundation_wall,0.0008110794391630899
in.usage_level,0.0005915658692244197
in.pv_orientation,0.000553558046493938
in.hot_water_fixtures,0.0005096049405976486
in.has_pv,0.00041261717730602164
in.insulation_rim_joist,0.00039908740926262803
in.geometry_building_level_mf,0.00026510540289425747
in.insulation_slab,0.00019258756824124567
in.water_heater_in_unit,0.00015541029741099766
in.corridor,0.00014796929185891238
in.geometry_wall_type,0.00013591404337799428
in.ceiling_fan,0.00011661193355675036
in.hvac_has_zonal_electric_heating,5.994079414234259e-05
in.misc_hot_tub_spa,5.8933249077859615e-05
in.geometry_building_horizontal_location_sfa,5.8693329249554e-05
in.hvac_shared_efficiencies,2.842364620874641e-05
in.misc_pool,2.5695209387689744e-05
in.pv_system_size,2.172302391956094e-05
in.geometry_building_number_units_sfa,1.5669062282554363e-05
in.geometry_story_bin,1.2401365225402413e-05
in.hvac_has_shared_system,1.3949440095900563e-06
in.door_area,0.0
in.holiday_lighting,0.0
in.hot_water_distribution,0.0
in.interior_shading,0.0
in.misc_freezer,0.0
in.misc_gas_fireplace,0.0
in.misc_gas_grill,0.0
in.misc_gas_lighting,0.0
in.misc_well_pump,0.0
in.natural_ventilation,0.0
in.radiant_barrier,0.0
